host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
2787,0,0,0,149,1,9,365
2845,1,1,1,225,1,45,355
4869,0,3,1,89,1,270,194
7192,1,4,1,80,10,9,0
7322,1,5,1,200,3,74,129
8967,1,7,0,79,2,430,220
7490,1,8,0,79,2,118,0
7549,1,9,1,150,1,160,188
7702,1,8,1,135,5,53,6
7989,1,7,0,85,2,188,39
9744,0,10,0,89,4,167,314
11528,1,8,0,85,2,113,333
15991,0,12,1,140,2,148,46
17571,0,13,1,215,2,198,321
18946,1,14,0,140,1,260,12
20950,0,15,1,99,3,53,21
21207,0,12,1,299,3,9,0
22486,0,16,0,130,2,130,347
22486,0,16,0,80,1,39,364
22486,0,16,0,110,2,71,304
25183,0,6,1,120,2,88,233
25326,0,17,0,60,1,19,85
30193,1,7,1,150,10,58,75
31374,1,18,0,44,3,108,311
21904,1,19,1,180,14,29,67
32294,1,2,0,50,3,242,355
32045,1,2,0,52,2,88,255
32169,0,20,0,55,4,197,284
32294,1,2,0,50,3,273,359
35935,0,6,0,70,1,74,269
9744,0,10,0,89,4,168,340
44145,0,21,1,85,2,231,22
7549,1,23,2,40,1,214,188
46978,1,19,0,68,2,245,96
47610,0,10,1,120,3,15,345
47618,0,13,0,120,7,25,311
16800,1,8,0,135,4,81,273
47727,1,2,1,150,7,97,309
50124,2,25,0,130,3,248,215
50148,0,6,1,110,7,61,265
50846,0,6,1,115,3,11,0
52335,0,13,0,80,3,135,192
54275,0,6,0,80,1,112,251
56094,1,8,1,151,2,73,302
56104,0,12,1,228,3,82,140
56246,0,20,1,144,2,328,234
56284,1,26,1,200,7,19,257
59023,1,23,0,110,5,19,301
59734,1,7,0,69,2,289,294
32169,0,20,0,49,4,138,320
60252,0,12,0,80,2,42,263
61491,1,28,1,250,2,66,231
63613,0,3,0,55,7,27,292
64056,0,16,1,225,3,4,0
64442,1,19,0,80,1,338,72
64522,0,12,1,275,1,148,362
4396,1,19,0,99,1,106,336
65837,1,4,1,225,4,190,215
66035,1,19,1,230,9,49,116
66243,1,7,0,51,7,23,88
68428,1,30,0,65,2,49,336
68599,0,3,0,105,2,105,304
69829,1,19,1,190,5,21,224
69942,1,28,0,200,1,142,322
71512,0,13,0,95,3,143,132
71876,1,14,0,150,3,167,295
72014,0,12,0,145,3,61,238
73128,1,23,1,285,5,70,328
73469,0,22,1,130,6,16,38
74303,0,32,1,800,1,25,7
74857,0,12,1,105,3,61,272
62407,1,19,0,60,3,194,26
76627,1,19,0,50,1,2,0
72014,0,12,0,85,3,174,288
961342,0,21,0,65,4,24,317
78460,0,29,1,131,4,166,207
51038,0,3,0,98,7,16,185
79070,0,29,1,250,7,21,158
79402,0,12,1,100,5,168,0
44145,0,21,1,105,3,118,9
42032,1,8,1,140,3,81,198
82685,1,2,0,89,1,1,365
87773,0,6,1,125,7,139,311
32294,1,2,0,60,3,11,219
11481,0,33,1,175,2,233,342
63318,1,30,0,65,2,68,312
93790,1,11,1,500,4,46,243
97219,0,12,0,101,3,335,152
107628,1,2,0,100,2,170,346
59734,1,7,0,59,2,334,279
51038,0,3,0,125,2,19,250
112793,1,19,1,140,7,12,164
72062,1,19,1,350,2,7,298
115157,1,26,1,199,5,38,260
115307,0,12,1,325,3,324,107
115560,1,8,1,235,6,27,199
72062,1,19,1,225,1,115,299
118971,0,10,0,99,2,354,20
119510,1,2,1,170,2,195,318
119588,0,10,1,400,2,16,216
119900,1,8,1,170,7,13,224
120223,1,19,1,100,4,25,0
65091,0,24,0,75,2,9,324
6197784,0,12,0,90,1,9,245
124352,1,28,1,150,5,21,189
35935,0,6,0,70,3,63,310
126607,1,2,1,120,3,155,213
127608,0,3,0,89,3,260,278
125857,1,19,1,185,5,73,209
129352,0,20,0,50,3,193,0
120335,1,23,1,105,3,32,16
117287,1,7,0,130,2,50,234
137292,0,35,0,77,2,2,178
137814,0,3,0,76,2,426,275
137974,0,6,1,125,3,227,163
116599,0,3,0,135,4,84,365
139612,0,12,1,199,3,10,280
139874,0,36,1,140,2,4,0
140025,2,37,0,140,2,1,1
137974,0,6,1,115,3,124,170
142833,0,12,1,160,3,11,188
143027,0,12,1,195,4,240,214
143048,1,19,1,195,3,30,248
72014,0,12,0,80,3,200,262
149929,0,13,0,44,8,27,280
120291,1,11,0,156,4,79,307
142684,0,12,0,125,3,155,1
157798,1,4,0,69,2,34,10
159370,0,12,1,125,6,27,189
92788,1,28,1,219,4,126,290
165789,0,38,1,475,3,23,230
168417,1,28,1,99,1,234,164
168525,0,12,0,69,4,202,53
170510,0,6,1,135,2,309,3
171851,0,40,0,250,3,14,189
174025,1,28,1,250,3,4,365
180083,0,34,1,250,2,80,0
181167,1,2,1,80,3,2,0
137814,0,3,0,70,2,294,336
11481,0,33,1,165,2,150,342
185978,3,41,0,70,2,166,312
177536,0,21,0,50,2,47,37
190409,4,42,0,40,1,219,353
193360,0,12,1,150,2,193,177
72062,1,19,0,125,1,84,310
193722,1,43,1,196,3,114,0
181376,0,13,0,110,2,213,321
193637,1,11,1,170,3,86,246
126607,1,2,1,165,3,80,231
202249,1,2,1,100,2,18,0
67778,0,13,0,65,2,206,0
204539,2,44,1,350,8,10,365
867225,1,45,0,99,4,122,233
204724,0,12,1,200,4,33,1
8198,0,16,1,150,5,52,18
209460,0,6,0,90,3,126,343
210746,0,29,0,120,3,51,250
212722,1,28,0,75,3,199,326
214287,1,14,1,125,3,3,0
218404,1,7,1,275,1,41,299
221873,1,23,1,299,2,109,207
9744,0,10,1,135,5,151,162
236655,1,23,0,83,1,285,7
237329,1,14,0,123,1,375,328
27848,2,46,0,55,2,52,365
240360,1,7,1,195,5,10,0
247432,0,6,0,80,2,11,0
204539,2,44,0,140,7,6,365
204539,2,47,1,265,7,38,365
10889,0,12,1,249,2,358,164
255583,1,7,2,105,6,10,363
210746,0,29,0,100,2,226,250
256161,1,2,1,121,1,104,247
190409,4,42,0,45,1,138,323
258164,1,4,0,100,5,204,192
260709,0,12,1,140,2,253,125
262138,0,6,0,71,2,23,91
88209,1,48,0,130,2,115,75
263414,1,11,1,199,5,129,286
168525,0,12,0,69,4,82,60
264928,0,13,0,68,3,37,0
267593,1,19,1,130,1,204,192
268014,0,20,1,195,2,69,58
256161,1,2,0,64,1,192,245
272006,2,49,1,140,2,17,292
199392,0,36,1,159,2,222,279
239208,1,19,1,189,3,205,0
274557,1,7,1,250,3,94,3
275459,1,19,1,239,3,7,351
275578,1,50,1,305,2,108,201
276291,1,2,1,155,3,222,232
277379,1,2,0,60,1,458,258
277394,0,17,0,135,2,21,272
279797,1,51,0,120,7,17,341
282927,1,23,1,150,3,41,244
204539,2,44,1,140,14,1,365
274782,0,20,1,135,2,69,12
186084,1,9,1,250,4,18,265
289653,1,27,1,500,4,94,329
99212,1,52,1,225,5,10,91
256161,1,2,0,92,1,189,253
249372,1,2,0,175,2,1,365
292630,1,19,1,99,2,127,320
293394,1,8,1,195,4,4,0
126607,1,4,1,140,3,135,192
295760,1,53,1,135,2,21,0
291112,1,14,1,500,2,35,348
297176,1,2,0,80,14,10,0
297769,1,9,0,120,4,171,353
281764,0,54,1,65,3,238,2
